Chinese gloss	English gloss	Language	Word	Source	Page no.
路	road	Waxianghua (Yuanling)	saɔ⁵³	Yang (1999)	
路	road	Longjia	zau³³	Guizhou (1984)	
路	road	Longjia	hau²¹	Guizhou (1984)	
跳	to jump	Caijia	dau³¹	Bo (2004)	80
跳	to jump	Longjia (Dafang)	pɛ³³	Guizhou (1982)	22
跳	to jump	Longjia	pɛ³³	Guizhou (1984)	
踏	to tread on	Longjia	ʈe⁵⁵	Guizhou (1984)	
踩	to step on	Longjia	thɛ⁵⁵	Guizhou (1984)	
蹄子	hoof	Caijia	ku⁵⁵	Bo (2004)	78
蹲	to squat	Caijia	po³¹	Bo (2004)	80
身体	body	Caijia	sen³³thuŋ⁵⁵	Bo (2004)	78
身体	body	Longjia	sei⁵⁵	Guizhou (1984)	
躲	to hide (intr.)	Longjia (Dafang)	a³³za⁵⁵	Guizhou (1982)	29
躺	to lie down	Longjia	zei⁵⁵	Guizhou (1984)	
躺倒	to lie down	Waxianghua (Guzhang)	po²⁵	Wu & Shen (2010)	
转回	to turn back	Longjia	ta⁵⁵	Guizhou (1984)	
软	soft	Caijia	ȵu³¹	Bo (2004)	81
软	soft	Waxianghua (Guzhang)	bi¹³	Wu & Shen (2010)	
轻	light (weight)	Caijia	tshɿ³³	Bo (2004)	81
轿子	sedan	Longjia	tsɿ⁵⁵ko²¹	Guizhou (1984)	
辣	spicy	Caijia	pei⁵⁵	Bo (2004)	81
辣椒	chili	Caijia	pei⁵⁵so³³	Bo (2004)	78
辫子	braid	Caijia	pei⁵⁵pin²⁴	Bo (2004)	78
边	side	Longjia	mu³³	Guizhou (1984)	
迎接	to welcome, receive	Longjia	mpuŋ⁵⁵	Guizhou (1984)	
还	to return	Caijia	dzu³³	Bo (2004)	80
还	to return	Longjia	hua²¹	Guizhou (1984)	
这	this	Caijia	o²⁴	Bo (2004)	81
这	this	Waxianghua (Guzhang)	ai⁵⁵	Wu & Shen (2010)	
这么	like this	Waxianghua (Guzhang)	bi⁴¹	Wu & Shen (2010)	
这里	here	Waxianghua (Guzhang)	ai⁵⁵lin⁴¹	Wu & Shen (2010)	
进	to enter, come in	Caijia	li³³	Bo (2004)	80
远	far	Caijia	ti⁵⁵	Bo (2004)	81
远	far	Longjia	tɛ²¹	Guizhou (1984)	
追	to chase	Caijia	lui⁵⁵, ɣuo³¹	Bo (2004)	80
送	to send	Longjia	suŋ⁵⁵	Guizhou (1984)	
选	to choose	Waxianghua (Guzhang)	lu¹³	Wu & Shen (2010)	
那	that	Caijia	mo²⁴	Bo (2004)	81
那	that	Waxianghua (Guzhang)	oŋ²⁵	Wu & Shen (2010)	
那	that	Longjia	pu⁵⁵	Guizhou (1984)	
那么	like that	Waxianghua (Guzhang)	oŋ²⁵pi⁵⁵	Wu & Shen (2010)	
那里	there	Waxianghua (Guzhang)	oŋ²⁵lin⁴¹	Wu & Shen (2010)	
都	even, all	Longjia	tu⁵⁵	Guizhou (1984)	
酒	wine, liquor	Caijia	tsuo⁵⁵	Bo (2004)	79
酒	wine, liquor	Caijia (Shuicheng)	米 mi	Liupanshui Gazetteer (2003)	185
酒	wine, liquor	Longjia (Dafang)	naŋ³³	Guizhou (1982)	28
酒	wine, liquor	Luren	tsɿ⁵⁴	Guizhou Ethnic Gazetteer (2002)	888
酒	wine, liquor	Longjia	naŋ³³	Guizhou (1984)	
酸	sour	Caijia	san³³	Bo (2004)	81
醉	drunk, inebriated	Caijia	tsɿ³¹	Bo (2004)	80
醒	wake	Caijia	ko³³	Bo (2004)	80
重	heavy	Caijia	doŋ³³	Bo (2004)	81
野	wild	Longjia	ʑa²¹	Guizhou (1984)	
量（量米）	one measure (e.g., of rice)	Caijia	ho⁵⁵	Bo (2004)	80
金	gold	Caijia (Shuicheng)	金 jin	Liupanshui Gazetteer (2003)	184
金	gold	Caijia (Shuicheng)	低 di	Liupanshui Gazetteer (2003)	184
金子	gold	Longjia	tɕuŋ³³	Guizhou (1984)	
针	needle	Caijia	tsan³³	Bo (2004)	79
针	needle	Longjia (Dafang)	tsuŋ³³	Guizhou (1982)	22
针	needle	Longjia	tsuŋ³³	Guizhou (1984)	
钉子	nail	Longjia	tiŋ³³ntsɿ³³	Guizhou (1984)	
钝	blunt	Waxianghua (Guzhang)	ŋu⁵⁵	Wu & Shen (2010)	
钱	money	Caijia	tɕin³¹	Bo (2004)	79
钱	money	Longjia	nta⁵⁵ʑi³³	Guizhou (1984)	
铁	iron	Caijia (Shuicheng)	西 xi	Liupanshui Gazetteer (2003)	184
铁	iron	Longjia	ɬei³³	Guizhou (1984)	
铜	bronze	Caijia (Shuicheng)	铜 tong	Liupanshui Gazetteer (2003)	184
铜	bronze	Longjia	tuŋ⁵⁵	Guizhou (1984)	
铡	lever-knife	Longjia	tsɛ⁵⁵	Guizhou (1984)	
铧口		Longjia	pie³³	Guizhou (1984)	
银	silver	Caijia (Shuicheng)	银 ying	Liupanshui Gazetteer (2003)	184
银	silver	Longjia	ŋui⁵⁵	Guizhou (1984)	
银子	silver	Longjia	ŋui⁵⁵	Guizhou (1984)	
锄	hoe	Longjia	tɕo⁵⁵tsɿ³³	Guizhou (1984)	
锄头	hoe	Caijia	tu³¹	Bo (2004)	79
锄头	hoe	Luren	tso³³khəu²⁴	Guizhou (1984)	51
锄头	hoe	Longjia (Dafang)	ʈo⁵⁵	Guizhou (1982)	28
锄头	hoe	Longjia	ʈo⁵⁵	Guizhou (1984)	
锄头	hoe	Longjia	tɕo⁵⁵tsɿ³³	Guizhou (1984)	
锅	pot (for cooking)	Caijia	məu³¹	Bo (2004)	79
锅	pot (for cooking)	Longjia (Anshun)	mau³³	Caiguan Gazetteer (2004)	494
锅	pot (for cooking)	Longjia (Dafang)	ɬei³³phuŋ⁵⁵	Guizhou (1982)	28
锅	pot (for cooking)	Longjia	phuŋ⁵⁵	Guizhou (1984)	
锋利	sharp (of knife)	Longjia	pi³³	Guizhou (1984)	
锋利	sharp (of knife)	Longjia	pi⁵⁵	Guizhou (1984)	
锤子	hammer	Caijia	tʅ³¹	Bo (2004)	79
锯	to saw	Longjia	tɕy⁵⁵	Guizhou (1984)	
锯（动词）	to saw	Longjia (Dafang)	tɕy⁵⁵	Guizhou (1982)	30
镰刀	sickle	Longjia	lɛ³³	Guizhou (1984)	
镰刀	sickle	Longjia	pie³³lɛ⁵⁵	Guizhou (1984)	
镶	inlay	Caijia	lɯ³¹	Bo (2004)	80
长	long	Caijia	ko³³	Bo (2004)	81
门	door	Caijia	ma³¹kha³³	Bo (2004)	79
门	door	Longjia	mɛ⁵⁵	Guizhou (1984)	
问	to ask	Caijia	pia⁵⁵	Bo (2004)	80
问	to ask	Longjia (Dafang)	mpia⁵⁵	Guizhou (1982)	23
问	to ask	Longjia (Dafang)	mpia⁵⁵	Guizhou (1982)	26
问	to ask	Longjia	mpia⁵⁵	Guizhou (1984)	
闻	to smell, sniff	Caijia	khu⁵⁵	Bo (2004)	80
阉割	castrate	Caijia	ten³¹	Bo (2004)	80
阴	dark	Caijia	dɯ³³	Bo (2004)	79
陡	steep	Caijia	tɯ³¹	Bo (2004)	81
陡	steep	Longjia	ɕuŋ³³	Guizhou (1984)	
集市	market	Caijia	khɯ⁵⁵	Bo (2004)	79
雕刻	to carve	Longjia	tiau⁵⁵	Guizhou (1984)	
雨	rain	Caijia	zɿ³³	Bo (2004)	77
雨	rain	Longjia (Dafang)	ɕi³³	Guizhou (1982)	28
雨	rain	Waxianghua (Guzhang)	va²⁵	Wu & Shen (2010)	
雨	rain	Waxianghua (Yuanling)	ua⁵³	Yang (1999)	
雷	thunder	Caijia	tʅ³³	Bo (2004)	77
雷	thunder	Waxianghua (Guzhang)	tyei⁵⁵	Wu & Shen (2010)	
雷	thunder	Waxianghua (Yuanling)	ty⁵⁵(kəu⁵⁵)	Yang (1999)	
雹子	hail	Waxianghua (Yuanling)	ɕi⁵⁵tsa	Yang (1999)	
雾	fog	Waxianghua (Guzhang)	tsau³³tsa	Wu & Shen (2010)	
青冈树	beech tree	Caijia	pi³¹so⁵⁵	Bo (2004)	78
青蛙	frog	Caijia	mai²⁴	Bo (2004)	78
青蛙	frog	Waxianghua (Guzhang)	vu¹³mau²⁵	Wu & Shen (2010)	
青蛙	frog	Waxianghua (Yuanling)	u²²məu⁵⁵	Yang (1999)	
鞋	shoe	Luren	ɕi³³	Guizhou (1984)	50
鞋	shoe	Luren	san³³ɕən³³	Guizhou Ethnic Gazetteer (2002)	888
鞋	shoe	Longjia	ɕi²¹	Guizhou (1984)	
鞋子	shoe	Caijia	ji³¹	Bo (2004)	79
额头	forehead	Caijia	ŋa³³tuo³¹	Bo (2004)	78
颧骨	cheekbones	Caijia	khai³³kui⁵⁵	Bo (2004)	78
风	wind	Caijia	pan³³	Bo (2004)	77
风	wind	Longjia	mpiaŋ⁵⁵	Guizhou (1984)	
飞	to fly	Caijia	bu³³	Bo (2004)	79
食（猪食）	food (pig feed)	Caijia	ma³³	Bo (2004)	79
饭	rice, cooked	Caijia	zu³³	Bo (2004)	79
饭	rice, cooked	Caijia (Shuicheng)	优 you	Liupanshui Gazetteer (2003)	185
饭	rice, cooked	Longjia (Dafang)	ʑi³³	Guizhou (1982)	22
饭	rice, cooked	Longjia (Dafang)	ʑi³³	Guizhou (1982)	25
饭	rice, cooked	Luren	ʑoŋ⁵⁵	Guizhou Ethnic Gazetteer (2002)	888
饭	rice, cooked	Longjia	ʑi³³	Guizhou (1984)	
饭甑	rice cauldron	Longjia	ŋuɛ⁵⁵	Guizhou (1984)	
饱	full (of stomach)	Caijia	pəu⁵⁵	Bo (2004)	81
饱	full (of stomach)	Waxianghua (Guzhang)	iɛ⁵⁵	Wu & Shen (2010)	
饱	full (of stomach)	Longjia	po²¹	Guizhou (1984)	
饱满	full (not hungry)	Longjia	ɬau²¹	Guizhou (1984)	
饿	hungry	Caijia	kɯ⁵⁵	Bo (2004)	81
香	fragrant	Caijia	man³³	Bo (2004)	81
香	fragrant	Longjia	khan⁵⁵	Guizhou (1984)	
马	horse	Caijia	me³³	Bo (2004)	78
马	horse	Caijia (Shuicheng)	买 mai	Liupanshui Gazetteer (2003)	184
马	horse	Luren	man²¹	Guizhou Ethnic Gazetteer (2002)	888
马	horse	Longjia	mɛ²¹	Guizhou (1984)	
马匙	a type of large spoon	Luren	kan⁵⁴tsa³³	Guizhou Ethnic Gazetteer (2002)	888
马蜂		Longjia	man³³ntsɿ³³	Guizhou (1984)	
马铃薯	potato	Caijia	tshɿ⁵⁵pəu⁵⁵	Bo (2004)	78
骂	curse	Caijia	tɕun³³	Bo (2004)	80
骂	to scold	Waxianghua (Guzhang)	ɕiɛ²⁵	Wu & Shen (2010)	
骑	to ride (a horse)	Longjia (Dafang)	nkau⁵⁵	Guizhou (1982)	23
骑	to ride (a horse)	Longjia	nkau⁵⁵	Guizhou (1984)	
骗	cheat	Caijia	hɯ⁵⁵	Bo (2004)	80
骨头	bone	Caijia	kui⁵⁵tuo³¹	Bo (2004)	79
高	high, tall	Caijia	ko³³	Bo (2004)	81
高	high, tall	Longjia	ka⁵⁵	Guizhou (1984)	
高兴	happy	Longjia	hau²¹tau⁵⁵	Guizhou (1984)	
高粱	sorghum	Waxianghua (Guzhang)	tsu³³tsa	Wu & Shen (2010)	
髻	bun (hair)	Caijia	dzɿ³³kei³³	Bo (2004)	78
鬼	ghost	Luren	phia⁵⁵	Guizhou (1984)	50
鬼	ghost	Longjia	kei³³	Guizhou (1984)	
魂	soul	Longjia	phia³³	Guizhou (1984)	
魂魄	soul	Caijia	phia⁵⁵	Bo (2004)	79
鱼	fish	Caijia	ɣoŋ²⁴	Bo (2004)	78
鱼	fish	Longjia (Dafang)	ʑy²⁴	Guizhou (1982)	28
鱼	fish	Waxianghua (Guzhang)	ɳiəɯ⁵⁵	Wu & Shen (2010)	
鱼	fish	Longjia	ʑy²⁴	Guizhou (1984)	
鱼鳞	scales (of fish)	Caijia	ɣoŋ²⁴kho⁵⁵	Bo (2004)	78
鸟	bird	Caijia	tsɿ³¹tsɿ²⁴	Bo (2004)	78
鸟	bird	Waxianghua (Guzhang)	tsu⁴¹tsɪ	Wu & Shen (2010)	
鸟	bird	Longjia	sen³³	Guizhou (1984)	
鸟窝	nest (of bird)	Waxianghua (Guzhang)	khu⁵⁵	Wu & Shen (2010)	
鸡	chicken	Caijia	kei³³	Bo (2004)	78
鸡	chicken	Luren	kɛ³³	Guizhou (1984)	50
鸡	chicken	Luren	kɛ⁵⁵pɛ²¹	Guizhou Ethnic Gazetteer (2002)	888
鸡	chicken	Waxianghua (Guzhang)	ka⁵⁵	Wu & Shen (2010)	
鸡	chicken	Waxianghua (Yuanling)	ka⁵⁵	Yang (1999)	
鸡	chicken	Longjia	kɛ⁵⁵	Guizhou (1984)	
鸡一对	one pair of chickens	Luren	kɛ⁵⁵ʑi⁵⁵sau¹¹	Guizhou Ethnic Gazetteer (2002)	888
鸭子	duck	Longjia	ʑu³³	Guizhou (1984)	
鹅	goose	Caijia	ŋu³¹	Bo (2004)	78
鹦鹉	parrot	Waxianghua (Guzhang)	pɑ¹³pɑ⁴¹	Wu & Shen (2010)	
麦	wheat	Longjia (Dafang)	zuŋ⁵⁵	Guizhou (1982)	28
麦子	wheat	Luren	zau³³	Guizhou (1984)	50
麦子	wheat	Longjia	zuŋ⁵⁵	Guizhou (1984)	
麦芽	malt	Luren	tsɿ⁵⁵tsai⁴⁵	Guizhou Ethnic Gazetteer (2002)	888
麻	hemp	Caijia	tshɿ³¹	Bo (2004)	78
麻	hemp	Longjia (Dafang)	tshi³³	Guizhou (1982)	26
麻	hemp	Longjia	tshɿ³³	Guizhou (1984)	
黄	yellow	Caijia	ɣuŋ³¹	Bo (2004)	80
黄	yellow	Longjia	ɣuŋ⁵⁵	Guizhou (1984)	
黄牛	cattle	Caijia	ŋu³¹	Bo (2004)	78
黑	black	Caijia	khɯ⁵⁵	Bo (2004)	80
黑	black	Longjia (Dafang)	khei³³	Guizhou (1982)	27
鼠	rat, mouse	Longjia	so²¹	Guizhou (1984)	
鼻子	nose	Caijia	bi³¹kei³³	Bo (2004)	78
鼻涕	nasal mucus	Longjia	ɬen³³	Guizhou (1984)	
齿头	gear head	Caijia	biau³³	Bo (2004)	79
龙	dragon	Caijia	ɣoŋ³¹	Bo (2004)	78
（动物）爬	(animals) to climb	Caijia	dza³¹	Bo (2004)	79
（水）溢	(water) overflows	Caijia	ma³³	Bo (2004)	79
嫂	sister-in-law	Longjia (Dafang)	la⁵⁵tshau⁵⁵	Guizhou (1982)	22
一		Caijia (Yangjiazhai)	ʑi³³	Guizhou (1982)	8
七		Caijia (Yangjiazhai)	tɕʰi⁵⁵	Guizhou (1982)	4
万		Caijia (Yangjiazhai)	wan²⁴	Guizhou (1982)	3
丈夫		Caijia (Yangjiazhai)	məu³³	Guizhou (1982)	3
三		Caijia (Yangjiazhai)	sa³³	Guizhou (1982)	5
下雨		Caijia (Yangjiazhai)	həu²¹zɿ³³	Guizhou (1982)	16
不		Caijia (Yangjiazhai)	pu³³	Guizhou (1982)	8
丛		Caijia (Yangjiazhai)	ɣo²¹	Guizhou (1982)	16
东西		Caijia (Yangjiazhai)	ȵa²¹ȵa²¹	Guizhou (1982)	4
丢		Caijia (Yangjiazhai)	pɪ⁵⁵	Guizhou (1982)	30
个（人）		Caijia (Yangjiazhai)	ȵi²⁴	Guizhou (1982)	15
个（人）		Caijia (Yangjiazhai)	ȵi³³	Guizhou (1982)	17
九		Caijia (Yangjiazhai)	ku⁵⁵	Guizhou (1982)	7
书		Caijia (Yangjiazhai)	kʰəu⁵⁵	Guizhou (1982)	17
买		Caijia (Yangjiazhai)	man²¹	Guizhou (1982)	16
了		Caijia (Yangjiazhai)	o²¹	Guizhou (1982)	14
争		Caijia (Yangjiazhai)	tsen³³	Guizhou (1982)	11
事情		Caijia (Yangjiazhai)	sɿ⁵⁵tɕʰen²¹	Guizhou (1982)	14
二		Caijia (Yangjiazhai)	ta⁵⁵	Guizhou (1982)	7
云		Caijia (Yangjiazhai)	tin²¹	Guizhou (1982)	6
五		Caijia (Yangjiazhai)	ɣoŋ³³	Guizhou (1982)	13
井		Caijia (Yangjiazhai)	sɿ⁵⁵kʰa³³	Guizhou (1982)	23
些		Caijia (Yangjiazhai)	sui⁵⁵	Guizhou (1982)	18
亮		Caijia (Yangjiazhai)	tsu³³	Guizhou (1982)	18
亮亮的		Caijia (Yangjiazhai)	tsu³³lu²¹lu³³lei³³	Guizhou (1982)	18
人		Caijia (Yangjiazhai)	wu³³tsʰu³³	Guizhou (1982)	3
什么		Caijia (Yangjiazhai)	lau²⁴tsoŋ⁵⁵	Guizhou (1982)	18
仓		Caijia (Yangjiazhai)	tsʰan³³	Guizhou (1982)	12
他		Caijia (Yangjiazhai)	ʑe³³	Guizhou (1982)	8
件（衣服）		Caijia (Yangjiazhai)	ɣa²¹	Guizhou (1982)	17
会		Caijia (Yangjiazhai)	ti³³	Guizhou (1982)	26
会（绣花）		Caijia (Yangjiazhai)	ti³³	Guizhou (1982)	23
低		Caijia (Yangjiazhai)	ti⁵⁵	Guizhou (1982)	9
你		Caijia (Yangjiazhai)	nɯ³³	Guizhou (1982)	3
做		Caijia (Yangjiazhai)	tɕɪ⁵⁵	Guizhou (1982)	4
偷（盗）		Caijia (Yangjiazhai)	tau²¹	Guizhou (1982)	13
傻子		Caijia (Yangjiazhai)	nan³³kan³³	Guizhou (1982)	8
元		Caijia (Yangjiazhai)	pei³³	Guizhou (1982)	16
八		Caijia (Yangjiazhai)	pei⁵⁵	Guizhou (1982)	6
六		Caijia (Yangjiazhai)	fu⁵⁵	Guizhou (1982)	3
兵（军）		Caijia (Yangjiazhai)	kun³³	Guizhou (1982)	13
写		Caijia (Yangjiazhai)	me³³	Guizhou (1982)	3
冷		Caijia (Yangjiazhai)	ka²¹	Guizhou (1982)	5
分		Caijia (Yangjiazhai)	pen⁵⁵	Guizhou (1982)	6
刺蓬		Caijia (Yangjiazhai)	səu³³kəu⁵⁵	Guizhou (1982)	6
前		Caijia (Yangjiazhai)	tɕen²¹	Guizhou (1982)	16
剪刀		Caijia (Yangjiazhai)	tɕen⁵⁵	Guizhou (1982)	11
割		Caijia (Yangjiazhai)	sei⁵⁵	Guizhou (1982)	26
劈		Caijia (Yangjiazhai)	pʰo³³	Guizhou (1982)	3
勺子		Caijia (Yangjiazhai)	kan²⁴	Guizhou (1982)	7
包		Caijia (Yangjiazhai)	pəu⁵⁵	Guizhou (1982)	9
包（动词）		Caijia (Yangjiazhai)	ʔoŋ³³	Guizhou (1982)	29
包（衣）		Caijia (Yangjiazhai)	po³³	Guizhou (1982)	17
医生		Caijia (Yangjiazhai)	ko³³su³³pa³³	Guizhou (1982)	14
十		Caijia (Yangjiazhai)	tsan³³	Guizhou (1982)	16
千		Caijia (Yangjiazhai)	tɕʰan³³	Guizhou (1982)	4
半		Caijia (Yangjiazhai)	pa²¹	Guizhou (1982)	12
单		Caijia (Yangjiazhai)	ta³³	Guizhou (1982)	7
去		Caijia (Yangjiazhai)	kuai³³	Guizhou (1982)	6
发辫		Caijia (Yangjiazhai)	pei⁵⁵pin²⁴	Guizhou (1982)	6
变		Caijia (Yangjiazhai)	pi³³	Guizhou (1982)	15
叶子		Caijia (Yangjiazhai)	sei⁵⁵ti⁵⁵	Guizhou (1982)	28
吃		Caijia (Yangjiazhai)	ɕu²¹	Guizhou (1982)	4
吃（饭）		Caijia (Yangjiazhai)	ʑu³³	Guizhou (1982)	4
名字		Caijia (Yangjiazhai)	min²¹	Guizhou (1982)	12
听		Caijia (Yangjiazhai)	tʰi⁵⁵	Guizhou (1982)	3
告		Caijia (Yangjiazhai)	lai³³	Guizhou (1982)	20
咬		Caijia (Yangjiazhai)	tɕʰen²¹	Guizhou (1982)	4
哭		Caijia (Yangjiazhai)	xəu³³	Guizhou (1982)	4
喝		Caijia (Yangjiazhai)	ʔan²¹	Guizhou (1982)	20
嗑（瓜子）		Caijia (Yangjiazhai)	tʰei⁵⁵	Guizhou (1982)	6
嘴		Caijia (Yangjiazhai)	pi²¹	Guizhou (1982)	3
四		Caijia (Yangjiazhai)	sɿ²¹	Guizhou (1982)	13
回		Caijia (Yangjiazhai)	pei⁵⁵	Guizhou (1982)	29
国家		Caijia (Yangjiazhai)	kue²¹tɕa³³	Guizhou (1982)	6
圈子		Caijia (Yangjiazhai)	ʑa²¹	Guizhou (1982)	4
土		Caijia (Yangjiazhai)	tʰu⁵⁵	Guizhou (1982)	3
地		Caijia (Yangjiazhai)	le³³	Guizhou (1982)	3
块		Caijia (Yangjiazhai)	lo⁵⁵	Guizhou (1982)	16
块		Caijia (Yangjiazhai)	ka²¹	Guizhou (1982)	17
坛子		Caijia (Yangjiazhai)	ʔan²¹	Guizhou (1982)	6
坟墓		Caijia (Yangjiazhai)	kan³³	Guizhou (1982)	30
坡		Caijia (Yangjiazhai)	pəu²¹	Guizhou (1982)	9
城		Caijia (Yangjiazhai)	loŋ³³məu³³	Guizhou (1982)	22
塘		Caijia (Yangjiazhai)	ta²¹	Guizhou (1982)	9
墓		Caijia (Yangjiazhai)	kan³³	Guizhou (1982)	9
墙		Caijia (Yangjiazhai)	fu³³	Guizhou (1982)	3
多		Caijia (Yangjiazhai)	tɪ³³	Guizhou (1982)	5
够		Caijia (Yangjiazhai)	lo³³	Guizhou (1982)	21
大		Caijia (Yangjiazhai)	la²¹	Guizhou (1982)	5
天		Caijia (Yangjiazhai)	kʰen³³	Guizhou (1982)	4
天		Caijia (Yangjiazhai)	kʰen⁵⁵	Guizhou (1982)	23
太阳		Caijia (Yangjiazhai)	ʔen³³soŋ²¹	Guizhou (1982)	3
头		Caijia (Yangjiazhai)	to²¹to⁵⁵	Guizhou (1982)	3
头发		Caijia (Yangjiazhai)	pei⁵⁵	Guizhou (1982)	12
女人		Caijia (Yangjiazhai)	ku³³ʑa²⁴	Guizhou (1982)	30
奶		Caijia (Yangjiazhai)	ʑa³³	Guizhou (1982)	14
好		Caijia (Yangjiazhai)	kʰua³³	Guizhou (1982)	6
好		Caijia (Yangjiazhai)	kʰua²¹	Guizhou (1982)	15
妹		Caijia (Yangjiazhai)	xe⁵⁵	Guizhou (1982)	10
姐		Caijia (Yangjiazhai)	tɕi⁵⁵	Guizhou (1982)	10
姑娘		Caijia (Yangjiazhai)	ȵo⁵⁵, ȵo²⁴	Guizhou (1982)	4
娃娃		Caijia (Yangjiazhai)	ŋa⁵⁵	Guizhou (1982)	4
嫂		Caijia (Yangjiazhai)	tsʰo⁵⁵	Guizhou (1982)	22
嫩		Caijia (Yangjiazhai)	ȵu²¹	Guizhou (1982)	19
孩		Caijia (Yangjiazhai)	ŋa⁵⁵	Guizhou (1982)	15
完		Caijia (Yangjiazhai)	a⁵⁵	Guizhou (1982)	14
官		Caijia (Yangjiazhai)	kua³³	Guizhou (1982)	12
客		Caijia (Yangjiazhai)	kʰa⁵⁵	Guizhou (1982)	4
小		Caijia (Yangjiazhai)	ɕɪ²¹	Guizhou (1982)	4
小伙子		Caijia (Yangjiazhai)	ɬa³³	Guizhou (1982)	3
小孩		Caijia (Yangjiazhai)	ɕɪ²¹ŋa⁵⁵	Guizhou (1982)	19
小碗		Caijia (Yangjiazhai)	lo²⁴	Guizhou (1982)	7
尝		Caijia (Yangjiazhai)	tʰi⁵⁵	Guizhou (1982)	29
尾巴		Caijia (Yangjiazhai)	man³³	Guizhou (1982)	10
屎		Caijia (Yangjiazhai)	ʔi⁵⁵	Guizhou (1982)	5
山		Caijia (Yangjiazhai)	ti²¹	Guizhou (1982)	3
山羊		Caijia (Yangjiazhai)	tsʰɿ⁵⁵	Guizhou (1982)	10
差		Caijia (Yangjiazhai)	tɯ³³	Guizhou (1982)	15
布		Caijia (Yangjiazhai)	pu²¹	Guizhou (1982)	12
布依族		Caijia (Yangjiazhai)	ʔe⁵⁵	Guizhou (1982)	5
干		Caijia (Yangjiazhai)	ka³³	Guizhou (1982)	12
平		Caijia (Yangjiazhai)	pin²¹	Guizhou (1982)	9
年		Caijia (Yangjiazhai)	nen²¹	Guizhou (1982)	6
庄家		Caijia (Yangjiazhai)	ʑa³³pa²¹	Guizhou (1982)	8
床		Caijia (Yangjiazhai)	tʰa⁵⁵	Guizhou (1982)	3
床（榻）		Caijia (Yangjiazhai)	tʰa⁵⁵	Guizhou (1982)	13
开		Caijia (Yangjiazhai)	kʰɯ³³	Guizhou (1982)	6
弟、妹		Caijia (Yangjiazhai)	xe⁵⁵	Guizhou (1982)	4
彝族		Caijia (Yangjiazhai)	mia²⁴	Guizhou (1982)	6
得		Caijia (Yangjiazhai)	tu³³	Guizhou (1982)	15
心		Caijia (Yangjiazhai)	san⁵⁵	Guizhou (1982)	1
心		Caijia (Yangjiazhai)	san³³	Guizhou (1982)	13
怕		Caijia (Yangjiazhai)	tsʰɿ³³	Guizhou (1982)	19
成		Caijia (Yangjiazhai)	tsɿ²¹	Guizhou (1982)	16
我		Caijia (Yangjiazhai)	ŋu³³	Guizhou (1982)	4
房屋		Caijia (Yangjiazhai)	ʔo⁵⁵	Guizhou (1982)	4
房间		Caijia (Yangjiazhai)	wu³³tsa⁵⁵	Guizhou (1982)	3
扁担		Caijia (Yangjiazhai)	ta⁵⁵ka³³	Guizhou (1982)	15
手		Caijia (Yangjiazhai)	su⁵⁵	Guizhou (1982)	5
手镯		Caijia (Yangjiazhai)	loŋ³³koŋ³³	Guizhou (1982)	8
打		Caijia (Yangjiazhai)	na²¹	Guizhou (1982)	3
扫帚		Caijia (Yangjiazhai)	so⁵⁵tsʰu²¹	Guizhou (1982)	12
把（菜）		Caijia (Yangjiazhai)	ma³³	Guizhou (1982)	17
折		Caijia (Yangjiazhai)	tʰa³³	Guizhou (1982)	19
抱		Caijia (Yangjiazhai)	pau²¹	Guizhou (1982)	23
担		Caijia (Yangjiazhai)	ta³³	Guizhou (1982)	12
担（水）		Caijia (Yangjiazhai)	ta²¹	Guizhou (1982)	17
拱		Caijia (Yangjiazhai)	kʰuai³³	Guizhou (1982)	6
挑		Caijia (Yangjiazhai)	ta²¹	Guizhou (1982)	7
捎带		Caijia (Yangjiazhai)	ʈʅ³³	Guizhou (1982)	6
换		Caijia (Yangjiazhai)	ləu²¹	Guizhou (1982)	29
掉		Caijia (Yangjiazhai)	ɣa³³	Guizhou (1982)	30
揣		Caijia (Yangjiazhai)	tsʰəu⁵⁵	Guizhou (1982)	7
揩		Caijia (Yangjiazhai)	tsʰəu³³	Guizhou (1982)	7
搬迁		Caijia (Yangjiazhai)	ti²¹	Guizhou (1982)	30
撕		Caijia (Yangjiazhai)	tsɿ²¹	Guizhou (1982)	25
收		Caijia (Yangjiazhai)	kan³³	Guizhou (1982)	19
放		Caijia (Yangjiazhai)	pu³³	Guizhou (1982)	12
救		Caijia (Yangjiazhai)	ku²¹	Guizhou (1982)	7
敢		Caijia (Yangjiazhai)	kan⁵⁵	Guizhou (1982)	20
敲		Caijia (Yangjiazhai)	kʰau²¹	Guizhou (1982)	11
斗笠		Caijia (Yangjiazhai)	lo²¹ko²⁴	Guizhou (1982)	5
斧头		Caijia (Yangjiazhai)	pəu⁵⁵	Guizhou (1982)	3
断（线）		Caijia (Yangjiazhai)	kui⁵⁵	Guizhou (1982)	26
日子		Caijia (Yangjiazhai)	ȵi²⁴	Guizhou (1982)	15
星宿		Caijia (Yangjiazhai)	ɕi⁵⁵su²¹	Guizhou (1982)	11
是		Caijia (Yangjiazhai)	sɿ³³	Guizhou (1982)	18
晚饭		Caijia (Yangjiazhai)	pu³³	Guizhou (1982)	23
月		Caijia (Yangjiazhai)	ŋun³³	Guizhou (1982)	12
月亮		Caijia (Yangjiazhai)	ko⁵⁵pəu⁵⁵ʑa³³	Guizhou (1982)	8
