No.	Form	Language	Gloss (1)	Gloss (2)
V33.A	*həna̱k	Proto-Mon	to pound vertically in a mortar; to elbow; to strike with the elbow	
V34	*sɗak	Proto-Monic	to cough	to cough (sputum) (out) (Transitive Verb)
V34.B	*ɕhəda̱k	Proto-Nyah Kur	to cough (sputum) (out) (Transitive Verb)	
V34.A	*həɗa̱k	Proto-Mon	to cough	
V35	*ɗɯk	Proto-Monic	to have completed	(day) be almost finished; to be late in the day (Intransitive Verb)
V35.B	*dɯ̱k	Proto-Nyah Kur	(day) be almost finished; to be late in the day (Intransitive Verb)	
V35.A	*ɗɒ̱ɨ̯k	Proto-Mon	to have completed	
V36	*ɟnɔɔk	Proto-Monic	great, big	great, big
V36.B	*[chə]nɔ̤ɔk	Proto-Nyah Kur	great, big	
V36.A	*ɦno̤k	Proto-Mon	great, big	
V37	*paak	Proto-Monic	to split, cleave, halve, divide	to be shattered, split in pieces (Intransitive Verb)
V37.B	*pa̱ak	Proto-Nyah Kur	to be shattered, split in pieces (Intransitive Verb)	
V37.A	*pa̱i̯c	Proto-Mon	to split, cleave, halve, divide	
V38	*pɔk	Proto-Monic	to open, uncover, expose	to open (a door, the lid of a pot...); to expose (a wound, breasts); to lift (a curtain, a skirt, the corner of a mat...) (in order to look underneath) (Transitive Verb)
V38.B	*pɔ̱k	Proto-Nyah Kur	to open (a door, the lid of a pot...); to expose (a wound, breasts); to lift (a curtain, a skirt, the corner of a mat...) (in order to look underneath) (Transitive Verb)	
V38.A	*pɔ̱k	Proto-Mon	to open, uncover, expose	
V39	*puk	Proto-Monic	to pull up; to pluck out	to uproot (a small plant, grass, rice, hair, teeth...); to pull up and out (a house-pole, a nail, a thorn...) (Transitive Verb)
V39.B	*pu̱k	Proto-Nyah Kur	to uproot (a small plant, grass, rice, hair, teeth...); to pull up and out (a house-pole, a nail, a thorn...) (Transitive Verb)	
V39.A	*pɒ̱ɨ̯k	Proto-Mon	to pull up; to pluck out	
V40	*bak	Proto-Monic	to follow	to follow (Transitive Verb)
V40.B	*pa̤k	Proto-Nyah Kur	to follow (Transitive Verb)	
V40.A	*pɛ̤a̯k	Proto-Mon	to follow	
V41	*tbaak	Proto-Monic	to slash, split wood	to slash (flesh, vegetation) (with a sharp blade) (Transitive Verb)
V41.B	*təpa̤ak	Proto-Nyah Kur	to slash (flesh, vegetation) (with a sharp blade) (Transitive Verb)	
V41.A	*pa̤i̯c	Proto-Mon	to slash, split wood	
V42	*lɓak	Proto-Monic	to wear around the neck	to wear (cloth) across the shoulder (Transitive Verb)
V42.B	*ləba̱k	Proto-Nyah Kur	to wear (cloth) across the shoulder (Transitive Verb)	
V42.A	*[h]əɓa̱k	Proto-Mon	to wear around the neck	
V43	*ɓɔk	Proto-Monic	to chop, (dig with) hoe	to cut (rice, small plant) at ground level (with a hoe or spade) held at an angle while holding the stems with the left hand (Transitive Verb)
V43.B	*bɔ̱k	Proto-Nyah Kur	to cut (rice, small plant) at ground level (with a hoe or spade) held at an angle while holding the stems with the left hand (Transitive Verb)	
V43.A	*ɓɔ̱k	Proto-Mon	to chop, (dig with) hoe	
V43a	*c[l]-m-ɓɔk	Proto-Monic	hoe, spade (n.)	hoe, spade (n.)
V43a.B	*cləmbɔ̱k	Proto-Nyah Kur	hoe, spade (n.)	
V43a.A	*həɓɔ̱k	Proto-Mon	hoe, spade (n.)	
V44	*cɓɔk	Proto-Monic	(bird) to peck	(bird) to peck (e.g. fruit), (snake) to strike (prey) (Transitive Verb)
V44.B	*chəbɔ̱k	Proto-Nyah Kur	(bird) to peck (e.g. fruit), (snake) to strike (prey) (Transitive Verb)	
V44.A	*ɓɔ̱k	Proto-Mon	(bird) to peck	
V45	*wak	Proto-Monic	to wear in one's ears	to hang (something) (to a nail, on a line...), e.g. to hang a gong, oneself... (Transitive Verb)
V45.B	*wa̤k	Proto-Nyah Kur	to hang (something) (to a nail, on a line...), e.g. to hang a gong, oneself... (Transitive Verb)	
V45.A	*wɛ̤a̯k	Proto-Mon	to wear in one's ears	
V45a	*k-wak	Proto-Monic	to suspend, hang (e.g. a hook on a wall)	to hook and pull (e.g. coconuts, a girl's waist with one's arm); to hang (something) by its hook (Transitive Verb)
V45a.B	*khwa̱k	Proto-Nyah Kur	to hook and pull (e.g. coconuts, a girl's waist with one's arm); to hang (something) by its hook (Transitive Verb)	
V45a.A	*kwa̱k	Proto-Mon	to suspend, hang (e.g. a hook on a wall)	
V46	*traak	Proto-Monic		(humans) to moan, to complain when in pain (Intransitive Verb)
V46.B	*tra̱ak	Proto-Nyah Kur	(humans) to moan, to complain when in pain (Intransitive Verb)	
V47	*rik	Proto-Monic	to slice, cut with a sawing motion; to peel	to slit or slice (something soft), with a single motion towards oneself (Transitive Verb)
V47.B	*ri̤c	Proto-Nyah Kur	to slit or slice (something soft), with a single motion towards oneself (Transitive Verb)	
V47.A	*rʌ̤i̯c	Proto-Mon	to slice, cut with a sawing motion; to peel	
V48	*g[]rək	Proto-Monic	to shake (a tree, a bottle, one's head)	to shake (a tree, one's body) (Transitive Verb)
V48.B	*khərə̤k	Proto-Nyah Kur	to shake (a tree, one's body) (Transitive Verb)	
V48.A	*həra̤ɨ̯k	Proto-Mon	to shake (a tree, a bottle, one's head)	
V49	*laak	Proto-Monic	to split (e.g. bamboo) into fibers	to slice (tuber ...) thin, in one precise motion away from oneself (Transitive Verb)
V49.B	*la̤ak	Proto-Nyah Kur	to slice (tuber ...) thin, in one precise motion away from oneself (Transitive Verb)	
V49.A	*la̤i̯c	Proto-Mon	to split (e.g. bamboo) into fibers	
V50	*lmlaak	Proto-Monic	to open	to open one's eyes
V50.B	*ləmla̤ak	Proto-Nyah Kur	to open one's eyes	
V50.A	*pəla̤i̯c	Proto-Mon	to open	
V51	*[g]lɔk	Proto-Monic	to take out with the hand, scoop out, scoop up; to insert one's hand	to scoop out with hand from inside (e.g. a jar) (Transitive Verb)
V51.B	*khlɔ̤k	Proto-Nyah Kur	to scoop out with hand from inside (e.g. a jar) (Transitive Verb)	
V51.A	*klɔ̤k	Proto-Mon	to take out with the hand, scoop out, scoop up; to insert one's hand	
V52	*s-r-luk	Proto-Monic	to fit in, on, put on	to put on (clothes, shoes, headgear..., on self) (Transitive Verb)
V52.B	*ɕhəlu̱k	Proto-Nyah Kur	to put on (clothes, shoes, headgear..., on self) (Transitive Verb)	
V52.A	*həlɒ̱ɨ̯k	Proto-Mon	to fit in, on, put on	
V53	*klkək	Proto-Monic	to be dun-coloured, dirty, dusty	unclear (e.g. muddy water, cloudy skies...)
V53.B	*khlə̱k	Proto-Nyah Kur	unclear (e.g. muddy water, cloudy skies...)	
V53.A	*klɒ̱ɨ̯k	Proto-Mon	to be dun-coloured, dirty, dusty	
V54	*ɟlək̯, *ɟ[]lək	Proto-Monic	to be overcome by smoke, stifled; to emit smoke	to choke (on liquid or smoke, not on solid food) (Transitive Verb)
V54.B	*khlə̤k̯, *chələ̤k	Proto-Nyah Kur	to choke (on liquid or smoke, not on solid food) (Transitive Verb)	
V54.A	*kla̤ɨ̯k	Proto-Mon	to be overcome by smoke, stifled; to emit smoke	
V55	*jaak	Proto-Monic	to pound in a mortar, in order to remove inner pellicle	to pound (rice) in a large hand- or foot-mortar
V55.B	*ja̤ak	Proto-Nyah Kur	to pound (rice) in a large hand- or foot-mortar	
V55.A	*ja̤i̯c	Proto-Mon	to pound in a mortar, in order to remove inner pellicle	
V56	*[ʔ]jook	Proto-Monic	to be in good health	rain falls very hard
V56.B	*jo̱ok	Proto-Nyah Kur	rain falls very hard	
V56.A	*jə̤ɨ̯k	Proto-Mon	to be in good health	
V57	*juk	Proto-Monic	to lift, support, carry	to lift (something) (from somewhere)
V57.B	*jṳk	Proto-Nyah Kur	to lift (something) (from somewhere)	
V57.A	*ja̤ɨ̯k	Proto-Mon	to lift, support, carry	
V58	*khaak	Proto-Monic	to hawk, clear one's throat (of mucus) (Transitive Verb)	to hawk, clear one's throat (of mucus) (Transitive Verb)
V58.B	*kha̱ak	Proto-Nyah Kur	to hawk, clear one's throat (of mucus) (Transitive Verb)	
V58.A	*kha̱i̯c	Proto-Mon	to hawk, clear one's throat (of mucus) (Transitive Verb)	
V59	*kʔiəŋ / *kʔeeŋ	Proto-Monic	to list, be canted over, out of the vertical	to lean (something) (toward, not against something), e.g. -one's ear toward someone (Transitive Verb); to be slanted (Intransitive Verb); slantingly, e.g. to sit - (Adverb)
V59.B	*khəʔe̱əŋ / *khəʔi̱aŋ	Proto-Nyah Kur	to lean (something) (toward, not against something), e.g. -one's ear toward someone (Transitive Verb); to be slanted (Intransitive Verb); slantingly, e.g. to sit - (Adverb)	
V59.A	*həʔi̱ə̯ŋ	Proto-Mon	to list, be canted over, out of the vertical	
V60	*bʔɔŋ	Proto-Monic	to warm (oneself) (at the fire, in the sun...); be in childbirth	to warm (food, hands, self...) (at the fire) (Transitive Verb)
V60.B	*phəʔɔ̱ŋ	Proto-Nyah Kur	to warm (food, hands, self...) (at the fire) (Transitive Verb)	
V60.A	*ɓɔ̱ŋ	Proto-Mon	to warm (oneself) (at the fire, in the sun...); be in childbirth	
V61	*guŋ	Proto-Monic	to grasp, keep, take, take away, put away	(animal, human) to hold (something) in teeth, beak, lips (e.g. cigarette), but not in pincers (Transitive Verb)
V61.B	*kṳŋ	Proto-Nyah Kur	(animal, human) to hold (something) in teeth, beak, lips (e.g. cigarette), but not in pincers (Transitive Verb)	
V61.A	*ka̤ɨ̯ŋ	Proto-Mon	to grasp, keep, take, take away, put away	
V62	*cɔŋ	Proto-Monic	to set light to, burn, roast, bake	to burn (something g, e.g. a corpse)
V62.B	*cɔ̱ŋ	Proto-Nyah Kur	to burn (something g, e.g. a corpse)	
V62.A	*cɔ̱ŋ	Proto-Mon	to set light to, burn, roast, bake	
V63	*ɟeeŋ	Proto-Monic	to sew (Transitive Verb)	to sew (Transitive Verb)
V63.B	*ci̤iŋ	Proto-Nyah Kur	to sew (Transitive Verb)	
V63.A	*cɤ̤i̯ɲ	Proto-Mon	to sew (Transitive Verb)	
V64	*[t/c]iəŋ	Proto-Monic	to be heavy, weighty, abstruse, profound; to be extreme in degree	(object) to be heavy; (body-part, e.g. head) to feel heavy; (person) to look sick (Intransitive Verb)
V64.B	*kəcə̤ŋ	Proto-Nyah Kur	(object) to be heavy; (body-part, e.g. head) to feel heavy; (person) to look sick (Intransitive Verb)	
V64.A	*sa̤ɨ̯ŋ	Proto-Mon	to be heavy, weighty, abstruse, profound; to be extreme in degree	
V64a	*ɟəŋ-ɟəŋ	Proto-Monic	weight, responsibility	to be heavy (Intransitive Verb); heavy (Attributive)
V64a.B	*chəŋcə̤ŋ	Proto-Nyah Kur	to be heavy (Intransitive Verb); heavy (Attributive)	
V64a.A	*ʔ/həja̤ɨ̯ŋ	Proto-Mon	weight, responsibility	
V65	*ɲ[a/ɔ]ŋ	Proto-Monic	like, as, according as	how; to be similar, like
V65.B	*ɲ/ja̤n	Proto-Nyah Kur	how; to be similar, like	
V65.A	*ɲɔ̤ŋ	Proto-Mon	like, as, according as	
V66	*taŋ	Proto-Monic	to place on something; (honorific) to lie down, go to bed, sleep	to set (a trap)
V66.B	*ta̱ŋ	Proto-Nyah Kur	to set (a trap)	
V66.A	*ta̱ŋ	Proto-Mon	to place on something; (honorific) to lie down, go to bed, sleep	
V67	*ktaŋ	Proto-Monic	to be bitter, to experience a bitter sensation	bitter, too sweet (Intransitive Verb)
V67.B	*kəta̱ŋ	Proto-Nyah Kur	bitter, too sweet (Intransitive Verb)	
V67.A	*ʔəta̱ŋ	Proto-Mon	to be bitter, to experience a bitter sensation	
V68	*dooŋ	Proto-Monic	to obtain, to receive, to pay, to accept	to ask (for something) to be given, or returned, to the owner
V68.B	*to̤oŋ	Proto-Nyah Kur	to ask (for something) to be given, or returned, to the owner	
V68.A	*tə̤ɨ̯ŋ	Proto-Mon	to obtain, to receive, to pay, to accept	
V69	*pɗooŋ	Proto-Monic	to be salty	(food) not to be spicy-hot (Intransitive Verb)
V69.B	*phədo̱oŋ	Proto-Nyah Kur	(food) not to be spicy-hot (Intransitive Verb)	
V69.A	*(pə)ɗʌ̱ɨ̯ŋ	Proto-Mon	to be salty	
V70	*naŋ	Proto-Monic	to bring, mainly as a Post-verb indicating movement towards the speaker	from (Preposition)
V70.B	*na̤ŋ	Proto-Nyah Kur	from (Preposition)	
V70.A	*nɛ̤a̯ŋ	Proto-Mon	to bring, mainly as a Post-verb indicating movement towards the speaker	
V71	*piŋ	Proto-Monic	to be full of, complete	(substance) to fill (a container) (Transitive Verb)
V71.B	*pi̱ɲ	Proto-Nyah Kur	(substance) to fill (a container) (Transitive Verb)	
V71.A	*pʌ̱i̯ɲ	Proto-Mon	to be full of, complete	
V72	*ɓiiŋ	Proto-Monic	to swim	(fish, animals, humans) to swim
V72.B	*bi̱iɲ	Proto-Nyah Kur	(fish, animals, humans) to swim	
V72.A	*ɓɤ̱i̯ɲ	Proto-Mon	to swim	
V73	*maŋ	Proto-Monic	to wait (for), remain in one place, watch (for, over)	to wait for
V73.B	*ma̤ŋ	Proto-Nyah Kur	to wait for	
V73.A	*mɛ̤a̯ŋ	Proto-Mon	to wait (for), remain in one place, watch (for, over)	
V74	*dmɔŋ	Proto-Monic	to remain, be located	to set (e.g. a bag, a child...) upright (Transitive Verb)
V74.B	*thəmɔ̤ŋ	Proto-Nyah Kur	to set (e.g. a bag, a child...) upright (Transitive Verb)	
V74.A	*mɔ̤ŋ	Proto-Mon	to remain, be located	
V74a	*d-r-mɔŋ	Proto-Monic	place, dwelling-place	the place for, where, of (Noun); /thəmɔ̤ŋ khəya̱ak/ rainbow
V74a.B	*thəmɔ̤ŋ	Proto-Nyah Kur	the place for, where, of (Noun); /thəmɔ̤ŋ khəya̱ak/ rainbow	
V74a.A	*həmɔ̤ŋ	Proto-Mon	place, dwelling-place	
V75	*grmɯŋ	Proto-Monic	to hear (Transitive Verb)	to hear (Transitive Verb)
V75.B	*khəmɯ̤ŋ	Proto-Nyah Kur	to hear (Transitive Verb)	
V75.A	*mɤ̤i̯ɲ	Proto-Mon	to hear (Transitive Verb)	
V76	*wiŋ	Proto-Monic	to play, do for sport, to gamble	to play (a game)
V76.B	*wi̤ɲ	Proto-Nyah Kur	to play (a game)	
V76.A	*wʌ̤i̯ɲ	Proto-Mon	to play, do for sport, to gamble	
V77	*reeŋ	Proto-Monic	spicy-hot	spicy-hot
V77.B	*ri̤iŋ	Proto-Nyah Kur	spicy-hot	
V77.A	*rɤ̤i̯ɲ	Proto-Mon	spicy-hot	
V78	*traŋ	Proto-Monic		to close (a door) (Transitive Verb)
V78.B	*tra̱ŋ	Proto-Nyah Kur	to close (a door) (Transitive Verb)	
V78a	*t-m-raŋ	Proto-Monic	door	door
V78a.B	*tə[n/m]ra̱ŋ	Proto-Nyah Kur	door	
V78a.A	*[k/p]əra̱ŋ	Proto-Mon	door	
V79	*praŋ	Proto-Monic	to send (e.g. a book, instructions); to entrust; to send (someone) (somewhere)	to entrust (something or someone) (to somebody); to offer (something) as a present (to someone) as a present (to someone) (Transitive Verb)
V79.B	*pra̱ŋ	Proto-Nyah Kur	to entrust (something or someone) (to somebody); to offer (something) as a present (to someone) as a present (to someone) (Transitive Verb)	
V79.A	*pra̱ŋ	Proto-Mon	to send (e.g. a book, instructions); to entrust; to send (someone) (somewhere)	
V80	*raaŋ	Proto-Monic	to open, unfold, expand	(flower) to bloom; (nostril) is dilated (Intransitive Verb)
V80.B	*-ra̤aŋ	Proto-Nyah Kur	(flower) to bloom; (nostril) is dilated (Intransitive Verb)	
V80.A	*ra̤i̯ɲ	Proto-Mon	to open, unfold, expand	
V80a	*-m-raaŋ	Proto-Monic	to open, splay, e.g. one's legs	open (flower) (Attributive)
V80a.B	*-mra̤aŋ	Proto-Nyah Kur	open (flower) (Attributive)	
V80a.A	*həra̤i̯ɲ	Proto-Mon	to open, splay, e.g. one's legs	
V81	*praaŋ	Proto-Monic		to barbecue (e.g. meat, fish, slices of bananas or tubers) (at the fire) held between wooden stick (Transitive Verb)
V81.B	*pra̱aŋ	Proto-Nyah Kur	to barbecue (e.g. meat, fish, slices of bananas or tubers) (at the fire) held between wooden stick (Transitive Verb)	
V81a	*p-m-raaŋ	Proto-Monic	to toast, roast, broil	barbecued (meat, fish, vegetable slices) (Attributive)
V81a.B	*pəmra̱aŋ	Proto-Nyah Kur	barbecued (meat, fish, vegetable slices) (Attributive)	
V81a.A	*pəra̱i̯ɲ	Proto-Mon	to toast, roast, broil	
V81b	*p-n-raaŋ	Proto-Monic		broiling sticks
V81b.B	*pənra̱aŋ	Proto-Nyah Kur	broiling sticks	
V82	*trɔŋ	Proto-Monic	to be hard, firm to the touch, reach the second stage of ripeness, in full flavor, dark in colour	(person/fruit) to be fully grown but not old/ripe yet; to be dark in color (Intransitive Verb)
V82.B	*trɔ̱ŋ	Proto-Nyah Kur	(person/fruit) to be fully grown but not old/ripe yet; to be dark in color (Intransitive Verb)	
V82.A	*krɔ̱ŋ	Proto-Mon	to be hard, firm to the touch, reach the second stage of ripeness, in full flavor, dark in colour	
V83	*ɟrooŋ	Proto-Monic	to cook (something, e.g. rice) by steaming (Transitive Verb)	to cook (something, e.g. rice) by steaming (Transitive Verb)
V83.B	*chro̤oŋ	Proto-Nyah Kur	to cook (something, e.g. rice) by steaming (Transitive Verb)	
V83.A	*sə̤ɨ̯ŋ	Proto-Mon	to cook (something, e.g. rice) by steaming (Transitive Verb)	
V83a	*ɟ-n-rooŋ	Proto-Monic	(rice-) steamer (made of bamboo) (Noun)	(rice-) steamer (made of bamboo) (Noun)
V83a.B	*chənro̤oŋ	Proto-Nyah Kur	(rice-) steamer (made of bamboo) (Noun)	
V83a.A	*hərə̤ɨ̯ŋ	Proto-Mon	(rice-) steamer (made of bamboo) (Noun)	
V84	*(s-)gruŋ	Proto-Monic	to laugh (at)	to laugh (Intransitive Verb); to laugh at (someone) (Transitive Verb)
V84.B	*ɕhəkhrṳŋ	Proto-Nyah Kur	to laugh (Intransitive Verb); to laugh at (someone) (Transitive Verb)	
V84.A	*kra̤ɨ̯ŋ	Proto-Mon	to laugh (at)	
V85	*cruŋ	Proto-Monic	to set up, to build (especially of perishable materials)	to set up (e.g. a pole, a stake) (Transitive Verb)
V85.B	*cru̱ŋ	Proto-Nyah Kur	to set up (e.g. a pole, a stake) (Transitive Verb)	
V85.A	*sɒ̱ɨ̯ŋ	Proto-Mon	to set up, to build (especially of perishable materials)	
V86	*ɟliiŋ	Proto-Monic	to be elongated	to be elongated
V86.B	*khli̤iɲ	Proto-Nyah Kur	to be elongated	
V86.A	*klɤ̤i̯ɲ	Proto-Mon	to be elongated	
V86a	*ɟ-m-liiŋ	Proto-Monic	length (Noun)	long (Attributive)
V86a.B	*chəmli̤iɲ	Proto-Nyah Kur	long (Attributive)	
V86a.A	*həlɤ̤i̯ɲ	Proto-Mon	length (Noun)	
V87	*dliəŋ	Proto-Monic	to carry on, in baskets slung from a yoke	(one person) to carry (something) in baskets hagging on a yoke (Transitive Verb)
V87.B	*khli̤aŋ	Proto-Nyah Kur	(one person) to carry (something) in baskets hagging on a yoke (Transitive Verb)	
V87.A	*kli̤ə̯ŋ	Proto-Mon	to carry on, in baskets slung from a yoke	
V87a	*d[-r-]liəŋ	Proto-Monic	a porter's yoke	contents of baskets carried on a yoke (Noun)
V87a.B	*thəli̤aŋ	Proto-Nyah Kur	contents of baskets carried on a yoke (Noun)	
V87a.A	*həli̤ə̯ŋ	Proto-Mon	a porter's yoke	
V88	*(c/t-)looŋ	Proto-Monic	to come	to come, frequently used as directional Post-Verb
V88.B	*lo̤oŋ	Proto-Nyah Kur	to come, frequently used as directional Post-Verb	
V88.A	*klʌ̱ɨ̯ŋ	Proto-Mon	to come	
V88a	*[t/c][]-looŋ	Proto-Monic	to welcome, to receive formally	to bring (something); to guide (someone) (Transitive Verb)
V88a.B	*chəlo̱oŋ	Proto-Nyah Kur	to bring (something); to guide (someone) (Transitive Verb)	
V88a.A	*kəlʌ̱ɨ̯ŋ	Proto-Mon	to welcome, to receive formally	
V89	*slooŋ	Proto-Monic	to be high, tall, in a position of social eminence	(person, standing object) be tall (Intransitive Verb); (the top part of, e.g. a mountain, clouds, sky) be high up (Intransitive Verb); high (Adverb)
V89.B	*ɕhlo̱oŋ	Proto-Nyah Kur	(person, standing object) be tall (Intransitive Verb); (the top part of, e.g. a mountain, clouds, sky) be high up (Intransitive Verb); high (Adverb)	
V89.A	*hlʌ̱ɨ̯ŋ	Proto-Mon	to be high, tall, in a position of social eminence	
V89a	*s-m-looŋ	Proto-Monic	high (Attributive)	the top (of something); a high place (Noun)
V89a.B	*ɕəmlo̱oŋ	Proto-Nyah Kur	the top (of something); a high place (Noun)	
V89a.A	*həlʌ̱ɨ̯ŋ	Proto-Mon	high (Attributive)	
V90	*gləŋ	Proto-Monic	to be much, many, numerous	to be many, much (Intransitive Verb); in great numbers or quantity (Adverb); many, much (Attributive)
V90.B	*khlə̤ŋ	Proto-Nyah Kur	to be many, much (Intransitive Verb); in great numbers or quantity (Adverb); many, much (Attributive)	
V90.A	*kla̤ɨ̯ŋ	Proto-Mon	to be much, many, numerous	
V90a	*g-m-ləŋ	Proto-Monic	many, much (Attributive); denotes a general or class plurality	many, much (Attributive)
V90a.B	*khəmlə̤ŋ	Proto-Nyah Kur	many, much (Attributive)	
V90a.A	*həla̤ɨ̯ŋ	Proto-Mon	many, much (Attributive); denotes a general or class plurality	
V91	*siəŋ	Proto-Monic	(usually in negative) (not) to be the case	(usually, but not always in Negative Sentence) (not) to be right; (something/someone) (not) to be (something/someone) (Intransitive Verb)
V91.B	*ɕi̱aŋ	Proto-Nyah Kur	(usually, but not always in Negative Sentence) (not) to be right; (something/someone) (not) to be (something/someone) (Intransitive Verb)	
V91.A	*si̱ə̯ŋ	Proto-Mon	(usually in negative) (not) to be the case	
V92	*sooŋ	Proto-Monic	to drink, to inhale the smoke of	to drink (liquid, but not e.g. soup); to smell (something, e.g. a flower, a girl's cheek) (Transitive Verb); to inhale smoke
V92.B	*ɕo̱oŋ	Proto-Nyah Kur	to drink (liquid, but not e.g. soup); to smell (something, e.g. a flower, a girl's cheek) (Transitive Verb); to inhale smoke	
V92.A	*sʌ̱ɨ̯ŋ	Proto-Mon	to drink, to inhale the smoke of	
V93	*[g]juŋ	Proto-Monic	to live, be alive; to be raw	
V93.A	*cja̤ɨ̯ŋ	Proto-Mon	to live, be alive; to be raw	
V93a	*[g]-m-juŋ	Proto-Monic	to live, maintain life	to be alive (Intransitive Verb); alive (Attributive)
V93a.B	*khəmjṳŋ	Proto-Nyah Kur	to be alive (Intransitive Verb); alive (Attributive)	
V93a.A	*həja̤ɨ̯ŋ	Proto-Mon	to live, maintain life	
V94	*thiəŋ	Proto-Monic	to think, believe, expect	to argue, dispute, debate
V94.B	*thi̱əŋ	Proto-Nyah Kur	to argue, dispute, debate	
V94.A	*thi̱e̯ŋ	Proto-Mon	to think, believe, expect	
V95	*thaŋ	Proto-Monic	to thirst after (e.g. water, mother's breast...)	to thirst for (water) (Transitive Verb)
V95.B	*tha̱ŋ	Proto-Nyah Kur	to thirst for (water) (Transitive Verb)	
V95.A	*tha̱ŋ	Proto-Mon	to thirst after (e.g. water, mother's breast...)	
V96	*ŋuuc	Proto-Monic	to swallow (food, liquid) (Transitive Verb)	to swallow (food, liquid) (Transitive Verb)
V96.B	*ŋṳuc	Proto-Nyah Kur	to swallow (food, liquid) (Transitive Verb)	
V96.A	*ŋi̤t	Proto-Mon	to swallow (food, liquid) (Transitive Verb)	
V97	*cac	Proto-Monic	to prick, sting, stick in, plant upright, to propel with pole	to prick (body part) (with thorn...); to pick (teeth) (with tooth-pick...); to tuck in (e.g. edge of mat, in weaving); (thorn...) to prick (body part) (Transitive Verb)
V97.B	*cɛ̱c	Proto-Nyah Kur	to prick (body part) (with thorn...); to pick (teeth) (with tooth-pick...); to tuck in (e.g. edge of mat, in weaving); (thorn...) to prick (body part) (Transitive Verb)	
V97.A	*cɔ̱t	Proto-Mon	to prick, sting, stick in, plant upright, to propel with pole	
V98	*daac	Proto-Monic	to strike with the flat of the hand, slap, beat out (iron), stamp	to forge, beat (iron) (into a knife, axe...); to forge (a knife, an axe...); to strike (a match) (Transitive Verb)
V98.B	*ta̤ac	Proto-Nyah Kur	to forge, beat (iron) (into a knife, axe...); to forge (a knife, an axe...); to strike (a match) (Transitive Verb)	
V98.A	*ta̤t	Proto-Mon	to strike with the flat of the hand, slap, beat out (iron), stamp	
V98a	*d-m-aac	Proto-Monic	smith (Noun)	
V98a.A	*həma̤t	Proto-Mon	smith (Noun)	
V99	*[cr/c]nɗic	Proto-Monic	to kick	to kick forward with the sole (Transitive Verb)
V99.B	*chə[r]ndi̱c	Proto-Nyah Kur	to kick forward with the sole (Transitive Verb)	
V99.A	*hənɤ̱i̯c	Proto-Mon	to kick	
V100	*[]ɗac	Proto-Monic	to hatch out	(chick, snake, maggot...) to hatch (out) (from egg) (v.mov)
V100.B	*dɛ̱c	Proto-Nyah Kur	(chick, snake, maggot...) to hatch (out) (from egg) (v.mov)	
V100.A	*ɗɔ̱t	Proto-Mon	to hatch out	
V101	*[t]ɗaac	Proto-Monic	to be sweet; to be cooked without strong seasoning	to be sweet-tasting; (mouth) to be soft-spoken (Intransitive Verb)
V101.B	*[t]həda̱ac	Proto-Nyah Kur	to be sweet-tasting; (mouth) to be soft-spoken (Intransitive Verb)	
V101.A	*ɗa̱t	Proto-Mon	to be sweet; to be cooked without strong seasoning	
V101a	*[t]-m-ɗaaac	Proto-Monic	sweetness, sweet thing	to be sweet (Intransitive Verb); sweet (Attributive)
V101a.B	*[təm]da̱ac	Proto-Nyah Kur	to be sweet (Intransitive Verb); sweet (Attributive)	
V101a.A	*həna̱t	Proto-Mon	sweetness, sweet thing	
V102	*puuc	Proto-Monic	to gouge with chisel, mortise	(person, insect...) to bore a hole into (something) (Transitive Verb)
V102.B	*pu̱uc	Proto-Nyah Kur	(person, insect...) to bore a hole into (something) (Transitive Verb)	
V102.A	*pu̱t	Proto-Mon	to gouge with chisel, mortise	
V102a	*p-[n/rn]-uuc	Proto-Monic	a chisel (Noun)	a chisel (Noun)
V102a.B	*phənu̱uc	Proto-Nyah Kur	a chisel (Noun)	
V102a.A	*[pə-/h-]nu̱t	Proto-Mon	a chisel (Noun)	
V103	*gwaac	Proto-Monic	to scratch, rake, e.g. one's head	to scratch with nails forcefully (Transitive Verb)
V103.B	*khwa̤ac	Proto-Nyah Kur	to scratch with nails forcefully (Transitive Verb)	
V103.A	*kwa̤t	Proto-Mon	to scratch, rake, e.g. one's head	
V104	*rac	Proto-Monic	to reap, cut (standing crops)	to cut (e.g. rice plant) halfway down or near the ground (with a sickle) (Transitive Verb)
V104.B	*rɛ̤c	Proto-Nyah Kur	to cut (e.g. rice plant) halfway down or near the ground (with a sickle) (Transitive Verb)	
V104.A	*rɔ̤t	Proto-Mon	to reap, cut (standing crops)	
V104a	*r-n-ac	Proto-Monic	sickle	
V104a.A	*nɔ̤t	Proto-Mon	sickle	
V105	*klac	Proto-Monic	to steal (Transitive Verb)	to steal (Transitive Verb)
V105.B	*khlɛ̱c	Proto-Nyah Kur	to steal (Transitive Verb)	
V105.A	*klɔ̱t	Proto-Mon	to steal (Transitive Verb)	
V106	*t[r]laac	Proto-Monic	to be bare, bald, shaven	(head, pubis) to be bale; (hill) to be bare of vegetation (Intransitive Verb)
V106.B	*təla̱ac	Proto-Nyah Kur	(head, pubis) to be bale; (hill) to be bare of vegetation (Intransitive Verb)	
V106.A	*həla̱t	Proto-Mon	to be bare, bald, shaven	
